Data_Status,State,MSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2020P,TX,FSICD,0,0,0,0,0,0,0,0,0,0
2020P,TX,HLACD,26.62,30.31,23.15,22.65,23.96,14.56,14.43,19.03,20.82,16.03
2020P,TX,HLCCD,21.53,25.08,19.02,18.59,19.71,11.75,11.63,15.53,17.05,12.99
2020P,TX,HLICD,16.77,20.71,15.21,14.24,14.23,8.25,7.94,10.19,11.67,8.43
2020P,TX,HLRCD,27.84,30.56,28,27.71,32.71,24.49,23.36,27.27,28.36,24.78
2020P,TX,HLTCD,16.95,20.85,15.35,14.39,14.46,8.43,8.12,10.36,11.82,8.6
2020P,TX,HLTXD,16.95,20.85,15.35,14.39,14.46,8.43,8.12,10.36,11.82,8.6
2020P,TX,JFACD,16.13,22.49,22.84,21.9,20.2,11.86,9.6,11.97,15.61,14.53
2020P,TX,JFTCD,16.13,22.49,22.84,21.9,20.2,11.86,9.6,11.97,15.61,14.53
2020P,TX,JFTXD,16.13,22.49,22.84,21.9,20.2,11.86,9.6,11.97,15.61,14.53
2020P,TX,KSCCD,21.02,25.97,27.18,26.69,25.87,17.01,13.56,16.96,24.5,22.88
2020P,TX,KSICD,17.1,24.26,25.06,23.42,21.33,12.51,10.21,14.21,16.28,15.38
2020P,TX,KSRCD,21.02,25.97,27.18,26.69,25.87,17.01,13.56,16.96,24.5,22.88
2020P,TX,KSTCD,18.74,24.68,25.61,24.06,22.96,13.38,10.97,14.74,17.78,17.55
2020P,TX,KSTXD,18.74,24.68,25.61,24.06,22.96,13.38,10.97,14.74,17.78,17.55
2020P,TX,LUACD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,TX,LUICD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,TX,LUTCD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,TX,LUTXD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,TX,MGACD,21.71,27.68,28.15,27.37,26.06,18.27,16.3,18.56,20.44,19.07
2020P,TX,MGCCD,21.71,27.68,28.15,27.37,26.06,18.27,16.3,18.56,20.44,19.07
2020P,TX,MGICD,21.71,27.68,28.15,27.37,26.06,18.27,16.3,18.56,20.44,19.07
2020P,TX,MGTCD,21.71,27.68,28.15,27.37,26.06,18.27,16.3,18.56,20.44,19.07
2020P,TX,MGTXD,21.71,27.68,28.15,27.37,26.06,18.27,16.3,18.56,20.44,19.07
2020P,TX,MSICD,24.61,32.69,32.39,32.25,29.53,15.53,13.05,16.26,20.66,19.05
2020P,TX,NGACD,5.21,6.84,9.86,16.1,13.65,11.13,9.93,13.31,12.75,12.83
2020P,TX,NGCCD,7.65,6.88,6.45,7.08,7.99,6.68,6.69,7.5,6.37,6.02
2020P,TX,NGEID,4.57,4.27,2.93,3.85,4.5,2.79,2.59,3.09,3.08,2.38
2020P,TX,NGICD,4.46,4.1,2.94,3.83,4.56,2.79,2.57,3.19,3.33,2.81
2020P,TX,NGRCD,10.47,9.93,10.26,10.25,10.79,10.28,11.39,13.23,11.11,10.34
2020P,TX,NGTCD,5.18,4.73,3.52,4.47,5.21,3.48,3.27,3.91,3.89,3.24
2020P,TX,NGTXD,5.68,5.14,4.07,5,5.78,4.12,3.89,4.57,4.55,4.04
2020P,TX,NUEGD,0.64,0.67,0.73,0.77,0.72,0.72,0.71,0.71,0.68,0.65
2020P,TX,NUETD,0.64,0.67,0.73,0.77,0.72,0.72,0.71,0.71,0.68,0.65
2020P,TX,OHICD,17.01,21.05,15.66,14.54,14.24,8.53,8.17,10.17,11.67,8.48
2020P,TX,OPICD,19.1,25.4,25.22,24.9,23.09,12.34,10.42,13.03,16.43,15.22
2020P,TX,OPTCD,19.1,25.4,25.22,24.9,23.09,12.34,10.42,13.03,16.43,15.22
2020P,TX,OPTXD,19.1,25.4,25.22,24.9,23.09,12.34,10.42,13.03,16.43,15.22
2020P,TX,P1ICD,20.18,26.48,25.6,25.47,24.59,15.54,13.28,15.29,18.74,17.89
2020P,TX,P1TCD,21.08,27.42,26.8,26.57,26.07,17.36,15.06,16.87,20.35,19.59
2020P,TX,P1TXD,21.25,27.69,26.83,26.63,26.07,17.36,15.06,16.87,20.35,19.59
2020P,TX,PAACD,20.24,26.12,26.96,26.36,25.24,17.46,15.02,17.23,19.87,18.65
2020P,TX,PACCD,19.39,24.43,23.76,22.85,21.56,15.51,13.8,16.54,18.88,16.95
2020P,TX,PAEID,5.11,6.72,15.65,10.84,19.31,13.12,10.66,12.39,15.89,14.41
2020P,TX,PAICD,17.72,22.46,18.59,17.76,17.46,10.21,9.4,11.63,13.46,10.73
2020P,TX,PARCD,27.83,30.55,27.99,27.71,32.71,24.48,23.35,27.27,28.35,24.78
2020P,TX,PATCD,19.08,24.4,22.91,22.1,21.65,14.1,12.45,14.65,16.75,14.78
2020P,TX,PATXD,19.1,24.43,22.92,22.1,21.65,14.1,12.45,14.65,16.75,14.78
2020P,TX,PCCCD,0,0,0,0,0,0,0,0,0,0
2020P,TX,PCEID,2.59,3.08,1.99,1.95,0,0,0,0,0,0
2020P,TX,PCICD,2.59,3.08,1.99,1.95,1.96,1.8,1.58,2.2,2.65,1.79
2020P,TX,PCTCD,2.59,3.08,1.99,1.95,1.96,1.8,1.58,2.2,2.65,1.79
2020P,TX,PCTXD,2.59,3.08,1.99,1.95,1.96,1.8,1.58,2.2,2.65,1.79
2020P,TX,PEACD,20.23,26.1,26.95,26.35,25.22,17.45,15.01,17.22,19.86,18.65
2020P,TX,PECCD,8.97,9.62,9.28,9.27,9.72,8.61,8.33,9.43,8.54,8.16
2020P,TX,PEEID,2.81,2.74,2.23,2.63,2.92,2.23,2.04,2.2,2.35,2.04
2020P,TX,PEICD,12.88,15.6,12.87,12.96,12.66,7.53,6.92,8.59,9.87,8.02
2020P,TX,PERCD,11.83,11.62,11.66,11.6,12.35,11.4,12.54,14.42,12.24,11.55
2020P,TX,PETCD,11.27,13.54,12.71,12.85,12.78,8.63,7.79,9.19,10.41,9.32
2020P,TX,PETXD,15.56,19.35,18.06,17.81,17.48,11.57,10.34,12.19,13.62,12.14
2020P,TX,PQACD,26.62,30.31,23.15,22.65,23.96,14.56,14.43,19.03,20.82,16.03
2020P,TX,PQCCD,21.53,25.08,19.02,18.59,19.71,11.75,11.63,15.53,17.05,12.99
2020P,TX,PQICD,15.41,19.03,13.52,13.13,14.14,6.89,6.79,10.34,11.72,8.03
2020P,TX,PQRCD,27.84,30.56,28,27.71,32.71,24.49,23.36,27.27,28.36,24.78
2020P,TX,PQTCD,16.65,19.99,14.23,13.87,15.53,8.02,7.87,11.39,12.74,9.67
2020P,TX,PQTXD,16.65,19.99,14.23,13.87,15.53,8.02,7.87,11.39,12.74,9.67
2020P,TX,RFACD,7.95,10.85,12.07,11.6,11.2,6.03,4.38,6.19,7.74,7.29
2020P,TX,RFCCD,11.59,16.23,18.05,17.5,17,0,8.83,0,0,0
2020P,TX,RFEID,0,13.07,14.83,0,0,0,0,0,0,0
2020P,TX,RFICD,11.59,16.23,18.05,17.5,17,10.84,8.83,10.95,11.62,11.75
2020P,TX,RFTCD,8.33,11.64,12.69,12.07,11.71,6.32,4.67,6.58,8.1,7.62
2020P,TX,RFTXD,8.33,11.64,12.69,12.07,11.71,6.32,4.67,6.58,8.1,7.62
2020P,TX,SNICD,24.1,30.44,31.33,30.47,29.27,21.53,19.21,21.57,23.98,23.01
2020P,TX,TEACD,20.23,26.1,26.95,26.35,25.22,17.45,15.01,17.22,19.87,18.65
2020P,TX,TECCD,20.68,20.33,19.44,19.1,19.42,18.77,19.15,19.53,18.49,18.31
2020P,TX,TEICD,13.34,15.81,13.11,13.25,13.08,8.2,7.59,9.15,10.3,8.64
2020P,TX,TERCD,26.08,25.9,26.18,26.13,26.77,26.58,26.56,27.39,26.26,27
2020P,TX,TETCD,17.39,20.49,19.16,18.99,18.84,13.68,12.53,14.07,15.29,14.08
2020P,TX,TETXD,17.39,20.49,19.16,18.99,18.84,13.68,12.53,14.07,15.29,14.08
2020P,TX,WDRCD,9.5,11.42,12.71,12.45,12.14,8.37,7.15,8,8.85,8.51
2020P,TX,WWCCD,6.21,7.68,7.77,7.22,7.25,3.01,2.22,2,2.87,5.12
2020P,TX,WWEID,2.4,2.44,2.21,2.26,2.73,2.62,2.54,2.4,2.22,2.33
2020P,TX,WWICD,2.64,2.61,2.43,2.39,2.88,2.72,2.47,2.42,2.15,2.35
2020P,TX,WWTCD,3.22,3.28,3.06,3.16,3.6,2.8,2.53,2.47,2.26,2.45
2020P,TX,WWTXD,3.29,3.36,3.17,3.27,3.74,2.83,2.53,2.48,2.26,2.47
2020P,TX,WXICD,33.44,35.56,34.62,33.37,33.91,32.88,32.66,32.69,32.94,29.79
2020P,VA,ARICD,13.05,15.71,16.6,15.69,16.03,13.4,9.26,10.27,13.41,13.25
2020P,VA,ARTCD,13.05,15.71,16.6,15.69,16.03,13.4,9.26,10.27,13.41,13.25
2020P,VA,ARTXD,13.05,15.71,16.6,15.69,16.03,13.4,9.26,10.27,13.41,13.25
2020P,VA,AVACD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,VA,AVTCD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,VA,AVTXD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,VA,CLACD,0,0,0,0,0,0,0,0,0,0
2020P,VA,CLCCD,3.94,4.47,3.79,3.69,3.4,3.33,3.48,4.18,4.47,5.11
2020P,VA,CLEID,3.31,3.55,3.61,3.32,3.28,2.95,2.88,2.73,2.67,2.77
2020P,VA,CLICD,4.34,5,5.04,4.65,4.13,3.7,3.37,3.66,3.89,4.36
2020P,VA,CLKCD,5.29,6.24,6.11,5.35,4.37,3.84,3.42,3.76,4.05,4.58
2020P,VA,CLOCD,3.61,3.89,4.16,4.03,3.87,3.46,3.28,3.45,3.51,3.8
2020P,VA,CLRCD,0,0,0,0,0,0,0,0,0,0
2020P,VA,CLTCD,3.53,3.91,4.04,3.62,3.46,3.11,2.98,2.99,3.03,3.57
2020P,VA,CLTXD,4.33,4.98,5.02,4.63,4.11,3.69,3.37,3.67,3.9,4.37
2020P,VA,DFACD,21.12,27.17,28.07,27.75,26.97,19.1,16.08,18.48,21.93,21.1
2020P,VA,DFCCD,18.09,23.95,24.58,23.89,21.34,14.03,11.08,13.44,16.74,15.63
2020P,VA,DFEID,14.99,19.75,21.98,20.97,22.19,14.99,10.02,11.93,13.86,14.22
2020P,VA,DFICD,18.58,24.2,25.01,24.4,24.02,15.31,12.82,14.56,17.59,16.27
2020P,VA,DFRCD,20.01,27.1,27.01,28.02,27.16,17.78,15.39,17.53,19.12,18.78
2020P,VA,DFTCD,20.53,26.71,27.49,27.23,26.25,18.34,15.41,17.74,20.94,20.3
2020P,VA,DFTXD,20.68,26.81,27.55,27.3,26.44,18.45,15.51,17.85,21.18,20.35
2020P,VA,DKEID,14.99,19.75,21.98,20.97,22.19,14.99,10.02,11.93,13.86,14.22
2020P,VA,ELEXD,0,0,0,0,0,0,0,5.45,8.73,0
2020P,VA,ELIMD,0,0,0,0,0,0,0,9.18,10.74,0
2020P,VA,ESACD,22.57,24.16,24.94,23.94,24.14,23.77,22.74,23.77,24.25,24.23
2020P,VA,ESCCD,22.43,23.31,23.68,23.45,23.89,24.06,23.25,23.49,24.37,23.98
2020P,VA,ESICD,19.51,19.03,19.68,19.42,20.19,20.37,19.21,19.08,20.11,20.09
2020P,VA,ESRCD,30.63,31.19,32.47,31.78,32.53,33.32,33.28,33.84,34.37,35.37
2020P,VA,ESTCD,25.48,25.92,26.59,26.25,26.89,27.28,26.65,26.89,27.79,27.89
2020P,VA,ESTXD,25.48,25.92,26.59,26.25,26.89,27.28,26.65,26.89,27.79,27.89
2020P,VA,FNICD,0,0,0,0,0,0,0,0,0,0
2020P,VA,FOICD,0,0,0,0,0,0,0,0,0,0
2020P,VA,FSICD,0,0,0,0,0,0,0,0,0,0
2020P,VA,HLACD,25.16,29.53,23.2,22.91,24.46,15.11,14.19,18.39,19.88,15.92
2020P,VA,HLCCD,22.77,26.5,20.47,20.53,22.4,12.93,12.05,16.07,17.49,13.71
2020P,VA,HLICD,21.31,25.86,19.57,19.63,21.58,11.71,10.8,14.98,16.46,12.52
2020P,VA,HLRCD,30.3,33.29,32.65,31.88,34.46,29.43,29.13,31.71,33.05,29.88
2020P,VA,HLTCD,27.21,30.46,27.13,26.57,28.44,21.49,20.26,23.32,25.59,22.76
2020P,VA,HLTXD,27.21,30.46,27.13,26.57,28.44,21.49,20.26,23.32,25.59,22.76
2020P,VA,JFACD,16.18,22.34,23.04,22.07,20.9,12.24,9.93,11.96,15.53,14.23
2020P,VA,JFTCD,16.18,22.34,23.04,22.07,20.9,12.24,9.93,11.96,15.53,14.23
2020P,VA,JFTXD,16.18,22.34,23.04,22.07,20.9,12.24,9.93,11.96,15.53,14.23
2020P,VA,KSCCD,24.05,27.38,29.41,29.24,29.69,16.86,13.44,16.81,24.28,22.67
2020P,VA,KSICD,20.52,25.49,26.88,26.79,25.83,16.95,13.29,14.01,19.06,17.78
2020P,VA,KSRCD,24.05,27.38,29.41,29.24,29.69,16.86,13.44,16.81,24.28,22.67
2020P,VA,KSTCD,23.84,27.27,29.3,29.15,29.56,16.86,13.44,16.71,24.13,22.55
2020P,VA,KSTXD,23.84,27.27,29.3,29.15,29.56,16.86,13.44,16.71,24.13,22.55
2020P,VA,LUACD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,VA,LUICD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,VA,LUTCD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,VA,LUTXD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,VA,MGACD,21.99,27.91,28.58,27.91,26.88,19.13,17.45,19.42,21.13,19.69
2020P,VA,MGCCD,21.99,27.91,28.58,27.91,26.88,19.13,17.45,19.42,21.13,19.69
2020P,VA,MGICD,21.99,27.91,28.58,27.91,26.88,19.13,17.45,19.42,21.13,19.69
2020P,VA,MGTCD,21.99,27.91,28.58,27.91,26.88,19.13,17.45,19.42,21.13,19.69
2020P,VA,MGTXD,21.99,27.91,28.58,27.91,26.88,19.13,17.45,19.42,21.13,19.69
2020P,VA,MSICD,24.61,32.69,32.39,32.25,29.53,15.53,13.05,16.26,20.66,19.05
2020P,VA,NGACD,4.2,4.43,14.65,10.04,10.99,9.9,8.99,10.56,11.52,11.95
2020P,VA,NGCCD,9.31,9.44,8.47,8.52,8.74,7.76,6.88,7.57,7.64,8.07
2020P,VA,NGEID,5.54,4.89,3.27,4.15,5.88,3.36,3.07,3.33,4.15,3.18
2020P,VA,NGICD,6.51,6.28,5.11,5.81,6.13,4.79,4.21,4.78,4.8,4.41
2020P,VA,NGRCD,12.41,12.4,12,11.26,11.5,11.11,10.36,11.69,11.07,11.94
2020P,VA,NGTCD,8.11,7.67,5.98,6.73,7.74,5.6,4.82,5.28,5.69,4.99
2020P,VA,NGTXD,9.76,9.55,8.52,8.65,8.92,7.88,7.02,7.81,7.77,7.88
2020P,VA,NUEGD,0.54,0.32,0.54,0.71,0.61,0.63,0.65,0.66,0.63,0.59
2020P,VA,NUETD,0.54,0.32,0.54,0.71,0.61,0.63,0.65,0.66,0.63,0.59
2020P,VA,OHICD,0,0,0,0,0,0,0,0,0,0
2020P,VA,OPICD,25.35,32.18,32.36,31.26,29.6,19.76,17.41,19.53,22.72,21.53
2020P,VA,OPTCD,25.35,32.18,32.36,31.26,29.6,19.76,17.41,19.53,22.72,21.53
2020P,VA,OPTXD,25.35,32.18,32.36,31.26,29.6,19.76,17.41,19.53,22.72,21.53
2020P,VA,P1ICD,18.39,21.1,21.92,22.28,22.23,18.1,14.19,15.94,19.45,18.72
2020P,VA,P1TCD,23.37,26.26,27.53,28.44,28.63,23.89,20.11,21.25,25.27,24.63
2020P,VA,P1TXD,23.37,26.26,27.53,28.44,28.63,23.89,20.11,21.25,25.27,24.63
2020P,VA,PAACD,21.08,27,27.73,27.11,26.08,18.18,15.96,17.94,20.43,19.17
2020P,VA,PACCD,20.01,25.25,23.3,22.5,22.01,15.85,14,16.6,18.67,16.8
2020P,VA,PAEID,12.86,18.02,19.08,18.62,20.46,11.33,8.87,10.38,11.97,11.66
2020P,VA,PAICD,17.95,22.1,22.86,23.05,23.03,16.64,13.52,15.66,18.81,17.5
2020P,VA,PARCD,24.29,29.73,29.58,29.83,30.46,23.33,22.2,24.82,26.28,25.11
2020P,VA,PATCD,20.84,26.66,27.32,26.82,25.87,18.07,15.85,17.87,20.35,19.12
2020P,VA,PATXD,20.96,26.71,27.35,26.85,25.95,18.16,15.9,17.91,20.44,19.14
2020P,VA,PCCCD,0,0,0,0,0,0,0,0,0,0
2020P,VA,PCEID,0,0,0,0,0,0,0,0,0,0
2020P,VA,PCICD,0,0,0,0,0,0,0,0,0,0
2020P,VA,PCTCD,0,0,0,0,0,0,0,0,0,0
2020P,VA,PCTXD,0,0,0,0,0,0,0,0,0,0
2020P,VA,PEACD,21.07,26.99,27.73,27.11,26.08,18.18,15.96,17.93,20.42,19.16
2020P,VA,PECCD,10.57,11.44,10.79,10.41,10.61,9.49,8.42,9.58,10.2,10.14
2020P,VA,PEEID,2.84,2.6,2.17,2.46,3.02,2.35,2.17,2.2,2.71,2.2
2020P,VA,PEICD,8.1,9.3,8.93,8.71,8.72,6.88,5.93,6.58,7.08,6.86
2020P,VA,PERCD,15.32,16.73,15.98,15.31,15.36,13.58,12.53,13.95,13.91,14.4
2020P,VA,PETCD,11.79,14.5,14.43,13.83,13.75,9.9,8.64,9.76,10.96,10.37
2020P,VA,PETXD,17.1,21.13,21.51,20.82,20.21,14.68,13.03,14.61,16.3,15.56
2020P,VA,PQACD,25.16,29.53,23.2,22.91,24.46,15.11,14.19,18.39,19.88,15.92
2020P,VA,PQCCD,22.77,26.5,20.47,20.53,22.4,12.93,12.05,16.07,17.49,13.71
2020P,VA,PQICD,21.31,25.86,19.57,19.63,21.58,11.71,10.8,14.98,16.46,12.52
2020P,VA,PQRCD,30.3,33.29,32.65,31.88,34.46,29.43,29.13,31.71,33.05,29.88
2020P,VA,PQTCD,27.21,30.46,27.13,26.57,28.44,21.49,20.26,23.32,25.59,22.76
2020P,VA,PQTXD,27.21,30.46,27.13,26.57,28.44,21.49,20.26,23.32,25.59,22.76
2020P,VA,RFACD,10.29,13.34,12.46,12.1,14.46,6.92,5.62,5.2,6.15,6.16
2020P,VA,RFCCD,12.53,16.67,17.94,18.08,16.9,0,7.33,0,10.12,0
2020P,VA,RFEID,11.37,16.02,15.29,14.44,16.33,7.59,7.28,6.23,7.09,7.24
2020P,VA,RFICD,12.53,16.67,17.94,18.08,16.9,9.34,7.33,9.58,10.12,9.64
2020P,VA,RFTCD,11.62,15.12,14.95,14.8,15.72,7.86,6.66,5.82,6.92,7.87
2020P,VA,RFTXD,11.75,14.96,14.91,14.85,15.29,8.27,6.36,5.72,6.69,8.05
2020P,VA,SNICD,24.1,30.44,31.33,30.47,29.27,21.53,19.21,21.57,23.98,23.01
2020P,VA,TEACD,21.08,26.99,27.72,27.1,26.08,18.18,15.96,17.94,20.42,19.16
2020P,VA,TECCD,18.13,19.16,19.19,18.69,18.81,18.32,17.54,18.14,18.83,18.8
2020P,VA,TEICD,10.34,11.2,11.03,10.78,10.96,9.5,8.56,8.96,9.63,9.42
2020P,VA,TERCD,23.86,24.97,25.79,24.52,24.76,24.73,24.78,25.67,25.58,26.63
2020P,VA,TETCD,19.13,22.3,22.73,22.12,21.78,17.67,16.26,17.48,19.05,18.51
2020P,VA,TETXD,19.13,22.3,22.73,22.12,21.78,17.67,16.26,17.48,19.05,18.51
2020P,VA,WDRCD,9.5,11.42,12.71,12.45,12.14,8.37,7.15,8,8.85,8.51
2020P,VA,WWCCD,2.94,3.44,2.93,2.9,3.17,2.39,1.71,1.55,1.87,2.19
2020P,VA,WWEID,2.15,2.16,1.88,2.17,3.42,3.33,3.07,2.9,3.01,3.09
2020P,VA,WWICD,2.73,2.85,2.71,2.7,3.29,3.19,3.11,3.04,2.76,2.72
2020P,VA,WWTCD,3.27,3.54,3.29,3.42,3.99,3.48,3.22,3.13,3.14,3.13
2020P,VA,WWTXD,3.61,3.94,3.74,3.88,4.28,3.56,3.3,3.24,3.21,3.15
2020P,VA,WXICD,33.44,35.56,34.62,33.37,33.91,32.88,32.66,32.69,32.94,29.79
