Data_Status,State,MSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2020P,NJ,NGTCD,9.39,8.7,7.3,7.86,7.87,5.97,5.2,6.28,6.49,6.47
2020P,NJ,NGTXD,11.11,10.29,9.36,9.68,9.49,7.99,7.68,8.69,8.62,8.94
2020P,NJ,NUEGD,0.64,0.68,0.74,0.8,0.76,0.72,0.69,0.73,0.71,0.66
2020P,NJ,NUETD,0.64,0.68,0.74,0.8,0.76,0.72,0.69,0.73,0.71,0.66
2020P,NJ,OHICD,30.33,38.76,30.96,34.44,35.83,19.68,17.63,23.14,27.45,18.79
2020P,NJ,OPICD,25.14,32.59,32.44,31.78,29.66,17.92,15.52,17.7,21.68,20.14
2020P,NJ,OPTCD,25.14,32.59,32.44,31.78,29.66,17.92,15.52,17.7,21.68,20.14
2020P,NJ,OPTXD,25.14,32.59,32.44,31.78,29.66,17.92,15.52,17.7,21.68,20.14
2020P,NJ,P1ICD,19.52,23.39,23.75,23.24,26.04,18.26,17.54,15.31,18.95,18
2020P,NJ,P1TCD,24.13,29.09,29.47,28.49,32.38,23.89,25.23,20.27,24.29,22.82
2020P,NJ,P1TXD,24.13,29.09,29.47,28.49,32.38,23.89,25.23,20.27,24.29,22.82
2020P,NJ,PAACD,20.54,26.51,27.46,26.68,26.13,18.42,16.14,18.59,20.78,20.15
2020P,NJ,PACCD,18.85,24.74,25.45,24.49,23.93,16.97,15.07,17.76,20.3,18.52
2020P,NJ,PAEID,16.22,21.65,23.36,23.84,23.37,14.01,10.15,13.96,15.58,14.06
2020P,NJ,PAICD,22.56,28.04,26.15,26.63,28.26,17.94,16.1,17.69,21.02,17.96
2020P,NJ,PARCD,24.84,28.68,31.05,30.13,30.1,21.73,19.99,22.32,23.81,22.71
2020P,NJ,PATCD,20.84,26.67,27.45,26.76,26.39,18.47,16.21,18.6,20.88,20.01
2020P,NJ,PATXD,20.85,26.67,27.45,26.77,26.39,18.47,16.21,18.6,20.89,20.02
2020P,NJ,PCCCD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,PCEID,0,0,0,0,0,0,0,0,0,0
2020P,NJ,PCICD,0,4.01,4.1,1.48,1.22,1.29,1.23,1.48,1.51,1.58
2020P,NJ,PCTCD,0,4.01,4.1,1.48,1.22,1.29,1.23,1.48,1.51,1.58
2020P,NJ,PCTXD,0,4.01,4.1,1.48,1.22,1.29,1.23,1.48,1.51,1.58
2020P,NJ,PEACD,20.54,26.5,27.45,26.68,26.12,18.42,16.14,18.58,20.77,20.15
2020P,NJ,PECCD,10.37,10.37,9.31,10.09,10.47,9.05,8.37,9.68,9.77,9.74
2020P,NJ,PEEID,2.7,2.5,1.97,2.24,2.63,1.82,1.51,1.68,1.9,1.83
2020P,NJ,PEICD,17,20.33,17.82,19.54,20.63,14.63,12.25,14.31,15.75,14
2020P,NJ,PERCD,14.09,13.57,13.26,12.54,11.63,9.53,9.04,9.99,10.28,10.72
2020P,NJ,PETCD,12.8,15.25,15.02,14.86,14.38,10.38,9.28,10.55,11.71,11.48
2020P,NJ,PETXD,17.45,20.99,21.29,20.72,19.87,14.81,13.38,15.25,16.51,16.06
2020P,NJ,PQACD,24.01,27.27,21.68,21.35,22.57,13.7,13.28,19.29,20.76,17.41
2020P,NJ,PQCCD,24.27,27.67,21.95,21.62,22.86,13.78,12.96,17.1,18.44,14.66
2020P,NJ,PQICD,25.37,29.29,22.59,22.19,23.65,13.02,12.05,16.91,18.48,14.05
2020P,NJ,PQRCD,34.25,39.17,37.13,36.08,39.49,34.18,33.94,37.04,38.88,34.2
2020P,NJ,PQTCD,31.03,35.41,30.85,30.04,33.26,25.4,24.38,29.6,31.85,27.21
2020P,NJ,PQTXD,31.03,35.41,30.85,30.04,33.26,25.4,24.38,29.6,31.85,27.21
2020P,NJ,RFACD,12.23,16.71,18.59,17.85,17.25,9.28,6.74,9.53,11.92,11.22
2020P,NJ,RFCCD,12.32,17.81,18.38,18.95,15.52,7.35,6.46,0,10.52,0
2020P,NJ,RFEID,13.53,20.13,22.82,21.32,19.59,10.18,8.72,0,0,0
2020P,NJ,RFICD,12.32,17.81,18.38,18.95,15.52,0,0,0,0,0
